"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Z2 - לפי דופק + Z5short fast runs30/30","Run","6+8+10","1.33333333333333","","2026-03-18","","11575.7900390625","215","511","1032.098","","1.33357322216034","2.41100001335144","","158","","148","185","","","0.731794962262092","79.67","32","21","5","11","7","3","0","","","","7","1","0","1","3","68","","","","","3","3"
"שחייה באפק בשעה 6:00","Swim","","1","","2026-03-19","","2200","","","","","0.828808613353305","0.735785953177257","","25","","135","159","","","0.884804189433209","57.41","24","24","2","0","0","0","0","","","","","","","","","","","","","","2","1"
"Townsend","Bike","תיאור: 90 דקות רכיבה אירובית בעצימות של 60-70% מה-FTP. מטרות: שיפור ניצול שומנים ושימור מאגרי סוכר שיפור אספקת החמצן לשרירים וניצולו הגברת עמידות השרירים לעייפות חיזוק רקמות החיבור","1.5","","2026-03-19","","24765.44921875","98","186","528.196","","1.5","4.58500003814697","","70","","134","151","","","0.623707669706064","58.16","65","25","0","0","0","0","0","","","","11","62","17","0","0","0","","","","","1","1"
"Strength","Strength","","","","2026-03-19","","0","","","","","0.876170217990875","0","","","","116","168","","","0.632305102711584","38.67","40","4","6","3","0","0","0","","","","","","","","","","","","","","",""
"שחייה באפק בשעה 6:00","Swim","","1","","2026-03-20","","2375","","","","","0.881350558069017","0.7477959697733","","25","","134","159","","","0.89824265658963","63.87","37","16","1","0","0","0","0","","","","","","","","","","","","","","1","1"
"Brick 90M Z2","Run","","1.5","","2026-03-20","","14459.1298828125","244","611","1320.123","","1.50023329257965","2.67700004577637","","170","","139","159","","","0.624783934807953","65.53","62","26","1","0","0","0","0","","","","0","0","0","0","1","89","","","","","2","1"
"Collywobbles 120 + Sprints","Bike","","2.00000000026491","","2026-03-21","","36768.80078125","104","308","751.453","","2","5.10599994659424","","77","","129","156","","","0.692392591201456","95.68","96","23","0","0","0","0","0","","","","19","49","44","6","0","1","","","","","","1"
"Bald","Bike","Achievable • Endurance 3.1 בטריינר זה 60 דקות עבודה אירובית קלה שנעה בין 65 ל70 אחוז מהסחח.","1","","2026-03-22","","17790.279296875","104","162","372.867","","1","4.94000005722046","","76","","133","147","","","0.656313929916725","42.72","53","7","0","0","0","0","0","","","","3","35","22","0","0","0","","","","","","1"
"Strength","Strength","","","","2026-03-22","","0","","","","","0.644052803516388","0","","","","127","173","","","0.672649693506173","31.92","24","5","4","6","0","0","0","","","","","","","","","","","","","","",""
"Z2 - לפי דופק","Run","","1.33333333333333","","2026-03-23","","12282.6298828125","235","437","1126.964","","1.3332085609436","2.55900001525879","","169","","137","155","","","0.636704267604522","60.27","45","34","1","0","0","0","0","","","","0","0","0","0","1","79","","","","","2","1"
"שחייה","Swim","","1","","2026-03-23","","2250","","","","","0.824838057623969","0.755287009063444","","26","","131","167","","","0.909269393025404","62.01","32","11","5","2","0","0","0","","","","","","","","","","","","","","2","1"
